Invoice_ID,Customer_Name,Email,Address,City_State,Zip,Item,Quantity,Unit_Price,Date
INV-001,Alice Smith,alice.smith@example.com,564 Birch Street,"Denver, CO",60469,Widget A,4,25.0,2025-10-26
INV-001,Alice Smith,alice.smith@example.com,564 Birch Street,"Denver, CO",60469,Widget C,4,15.0,2025-10-27
INV-002,Bob Johnson,bob.johnson@example.com,579 Elm Street,"Springfield, IL",33845,Widget A,1,25.0,2025-10-20
INV-002,Bob Johnson,bob.johnson@example.com,579 Elm Street,"Springfield, IL",33845,Widget B,3,40.0,2025-10-24
INV-003,Carol Lee,carol.lee@example.com,420 Pine Street,"Madison, WI",33208,Widget B,3,40.0,2025-10-30
INV-003,Carol Lee,carol.lee@example.com,420 Pine Street,"Madison, WI",33208,Widget A,1,25.0,2025-10-30
INV-004,David Miller,david.miller@example.com,226 Elm Street,"Denver, CO",55461,Widget D,4,30.0,2025-10-24
INV-005,Eva Brown,eva.brown@example.com,305 Birch Street,"Seattle, WA",63742,Widget A,3,25.0,2025-10-23
INV-005,Eva Brown,eva.brown@example.com,305 Birch Street,"Seattle, WA",63742,Widget D,4,30.0,2025-10-29
INV-006,Frank Davis,frank.davis@example.com,576 Birch Street,"Denver, CO",61917,Widget B,2,40.0,2025-10-22
INV-007,Grace Wilson,grace.wilson@example.com,730 Oak Street,"Austin, TX",27344,Widget A,4,25.0,2025-10-24
INV-007,Grace Wilson,grace.wilson@example.com,730 Oak Street,"Austin, TX",27344,Widget C,2,15.0,2025-10-25
INV-008,Hannah Moore,hannah.moore@example.com,187 Pine Street,"Seattle, WA",21785,Widget B,4,40.0,2025-10-23
INV-008,Hannah Moore,hannah.moore@example.com,187 Pine Street,"Seattle, WA",21785,Widget E,2,35.0,2025-10-30
INV-008,Hannah Moore,hannah.moore@example.com,187 Pine Street,"Seattle, WA",21785,Widget D,5,30.0,2025-10-29
INV-009,Ian Taylor,ian.taylor@example.com,965 Pine Street,"Springfield, IL",43731,Widget B,3,40.0,2025-10-21
INV-009,Ian Taylor,ian.taylor@example.com,965 Pine Street,"Springfield, IL",43731,Widget A,2,25.0,2025-10-28
INV-010,Jane Anderson,jane.anderson@example.com,523 Pine Street,"Portland, OR",68109,Widget C,3,15.0,2025-10-28
INV-010,Jane Anderson,jane.anderson@example.com,523 Pine Street,"Portland, OR",68109,Widget E,4,35.0,2025-10-27
INV-011,Kevin Thomas,kevin.thomas@example.com,260 Birch Street,"Springfield, IL",22061,Widget A,4,25.0,2025-10-28
INV-011,Kevin Thomas,kevin.thomas@example.com,260 Birch Street,"Springfield, IL",22061,Widget E,2,35.0,2025-10-22
INV-012,Laura Jackson,laura.jackson@example.com,855 Cedar Street,"Portland, OR",14674,Widget C,2,15.0,2025-10-25
INV-012,Laura Jackson,laura.jackson@example.com,855 Cedar Street,"Portland, OR",14674,Widget B,1,40.0,2025-10-21
INV-013,Mike White,mike.white@example.com,980 Elm Street,"Portland, OR",86345,Widget D,5,30.0,2025-10-21
INV-014,Nina Harris,nina.harris@example.com,502 Oak Street,"Austin, TX",74769,Widget B,5,40.0,2025-10-24
INV-015,Oscar Martin,oscar.martin@example.com,516 Birch Street,"Austin, TX",27146,Widget B,3,40.0,2025-10-25
INV-016,Paula Thompson,paula.thompson@example.com,689 Birch Street,"Madison, WI",34676,Widget E,2,35.0,2025-10-20
INV-017,Quinn Garcia,quinn.garcia@example.com,792 Pine Street,"Springfield, IL",99817,Widget E,1,35.0,2025-10-24
INV-017,Quinn Garcia,quinn.garcia@example.com,792 Pine Street,"Springfield, IL",99817,Widget D,4,30.0,2025-10-22
INV-018,Rachel Martinez,rachel.martinez@example.com,147 Maple Street,"Portland, OR",27816,Widget C,1,15.0,2025-10-26
INV-018,Rachel Martinez,rachel.martinez@example.com,147 Maple Street,"Portland, OR",27816,Widget A,2,25.0,2025-10-20
INV-018,Rachel Martinez,rachel.martinez@example.com,147 Maple Street,"Portland, OR",27816,Widget E,2,35.0,2025-10-21
INV-019,Steve Robinson,steve.robinson@example.com,202 Elm Street,"Portland, OR",39183,Widget A,2,25.0,2025-10-27
INV-019,Steve Robinson,steve.robinson@example.com,202 Elm Street,"Portland, OR",39183,Widget D,2,30.0,2025-10-21
INV-020,Tina Clark,tina.clark@example.com,683 Maple Street,"Springfield, IL",36112,Widget E,3,35.0,2025-10-28
INV-020,Tina Clark,tina.clark@example.com,683 Maple Street,"Springfield, IL",36112,Widget D,2,30.0,2025-10-25
INV-021,Uma Lewis,uma.lewis@example.com,718 Birch Street,"Denver, CO",89182,Widget C,3,15.0,2025-10-23
INV-022,Victor Walker,victor.walker@example.com,672 Pine Street,"Denver, CO",59201,Widget B,4,40.0,2025-10-26
INV-022,Victor Walker,victor.walker@example.com,672 Pine Street,"Denver, CO",59201,Widget A,5,25.0,2025-10-29
INV-022,Victor Walker,victor.walker@example.com,672 Pine Street,"Denver, CO",59201,Widget E,1,35.0,2025-10-22
INV-023,Wendy Hall,wendy.hall@example.com,316 Pine Street,"Austin, TX",70484,Widget D,5,30.0,2025-10-21
INV-023,Wendy Hall,wendy.hall@example.com,316 Pine Street,"Austin, TX",70484,Widget E,4,35.0,2025-10-25
INV-024,Xander Allen,xander.allen@example.com,195 Maple Street,"Portland, OR",37440,Widget A,4,25.0,2025-10-26
INV-024,Xander Allen,xander.allen@example.com,195 Maple Street,"Portland, OR",37440,Widget E,1,35.0,2025-10-25
INV-024,Xander Allen,xander.allen@example.com,195 Maple Street,"Portland, OR",37440,Widget C,5,15.0,2025-10-23
INV-025,Yara Young,yara.young@example.com,628 Birch Street,"Denver, CO",25347,Widget E,3,35.0,2025-10-21
INV-026,Zane King,zane.king@example.com,753 Cedar Street,"Springfield, IL",27330,Widget E,3,35.0,2025-10-24
INV-026,Zane King,zane.king@example.com,753 Cedar Street,"Springfield, IL",27330,Widget D,3,30.0,2025-10-29
INV-027,Aaron Wright,aaron.wright@example.com,406 Maple Street,"Denver, CO",13630,Widget A,2,25.0,2025-10-26
INV-027,Aaron Wright,aaron.wright@example.com,406 Maple Street,"Denver, CO",13630,Widget E,5,35.0,2025-10-27
INV-027,Aaron Wright,aaron.wright@example.com,406 Maple Street,"Denver, CO",13630,Widget D,1,30.0,2025-10-29
INV-028,Bella Scott,bella.scott@example.com,492 Cedar Street,"Springfield, IL",68400,Widget D,4,30.0,2025-10-30
INV-029,Cody Torres,cody.torres@example.com,841 Cedar Street,"Springfield, IL",95184,Widget A,3,25.0,2025-10-20
INV-030,Diana Nguyen,diana.nguyen@example.com,702 Maple Street,"Austin, TX",94866,Widget A,1,25.0,2025-10-29
INV-030,Diana Nguyen,diana.nguyen@example.com,702 Maple Street,"Austin, TX",94866,Widget C,4,15.0,2025-10-20
INV-031,Ethan Hill,ethan.hill@example.com,978 Maple Street,"Austin, TX",19326,Widget C,1,15.0,2025-10-25
INV-031,Ethan Hill,ethan.hill@example.com,978 Maple Street,"Austin, TX",19326,Widget E,1,35.0,2025-10-25
INV-031,Ethan Hill,ethan.hill@example.com,978 Maple Street,"Austin, TX",19326,Widget A,1,25.0,2025-10-30
INV-032,Fiona Flores,fiona.flores@example.com,520 Birch Street,"Seattle, WA",95129,Widget A,2,25.0,2025-10-26
INV-032,Fiona Flores,fiona.flores@example.com,520 Birch Street,"Seattle, WA",95129,Widget B,4,40.0,2025-10-23
INV-032,Fiona Flores,fiona.flores@example.com,520 Birch Street,"Seattle, WA",95129,Widget E,2,35.0,2025-10-30
INV-033,George Green,george.green@example.com,554 Maple Street,"Austin, TX",19419,Widget C,3,15.0,2025-10-28
INV-033,George Green,george.green@example.com,554 Maple Street,"Austin, TX",19419,Widget D,3,30.0,2025-10-25
INV-034,Holly Adams,holly.adams@example.com,774 Oak Street,"Madison, WI",11726,Widget B,5,40.0,2025-10-25
INV-034,Holly Adams,holly.adams@example.com,774 Oak Street,"Madison, WI",11726,Widget E,2,35.0,2025-10-30
INV-034,Holly Adams,holly.adams@example.com,774 Oak Street,"Madison, WI",11726,Widget C,3,15.0,2025-10-21
INV-035,Ivan Nelson,ivan.nelson@example.com,896 Birch Street,"Madison, WI",11078,Widget D,1,30.0,2025-10-28
INV-036,Julia Baker,julia.baker@example.com,850 Birch Street,"Miami, FL",88137,Widget C,4,15.0,2025-10-29
INV-037,Kyle Hall,kyle.hall@example.com,622 Oak Street,"Denver, CO",20143,Widget B,1,40.0,2025-10-28
INV-038,Lily Rivera,lily.rivera@example.com,428 Cedar Street,"Madison, WI",20563,Widget C,4,15.0,2025-10-25
INV-038,Lily Rivera,lily.rivera@example.com,428 Cedar Street,"Madison, WI",20563,Widget D,1,30.0,2025-10-29
INV-039,Matt Campbell,matt.campbell@example.com,651 Maple Street,"Denver, CO",26450,Widget B,3,40.0,2025-10-23
INV-040,Nora Mitchell,nora.mitchell@example.com,641 Pine Street,"Madison, WI",11373,Widget C,1,15.0,2025-10-29
INV-041,Owen Carter,owen.carter@example.com,464 Oak Street,"Austin, TX",58693,Widget C,1,15.0,2025-10-29
INV-041,Owen Carter,owen.carter@example.com,464 Oak Street,"Austin, TX",58693,Widget B,5,40.0,2025-10-30
INV-042,Paige Roberts,paige.roberts@example.com,316 Maple Street,"Springfield, IL",73686,Widget B,1,40.0,2025-10-24
INV-043,Quentin Gomez,quentin.gomez@example.com,956 Maple Street,"Madison, WI",43051,Widget A,5,25.0,2025-10-30
INV-043,Quentin Gomez,quentin.gomez@example.com,956 Maple Street,"Madison, WI",43051,Widget B,1,40.0,2025-10-23
INV-043,Quentin Gomez,quentin.gomez@example.com,956 Maple Street,"Madison, WI",43051,Widget E,4,35.0,2025-10-24
INV-044,Rose Phillips,rose.phillips@example.com,489 Birch Street,"Denver, CO",50342,Widget D,3,30.0,2025-10-24
INV-045,Sam Evans,sam.evans@example.com,930 Oak Street,"Denver, CO",71174,Widget E,3,35.0,2025-10-23
INV-045,Sam Evans,sam.evans@example.com,930 Oak Street,"Denver, CO",71174,Widget A,1,25.0,2025-10-25
INV-045,Sam Evans,sam.evans@example.com,930 Oak Street,"Denver, CO",71174,Widget C,2,15.0,2025-10-23
INV-046,Tracy Turner,tracy.turner@example.com,241 Cedar Street,"Miami, FL",33107,Widget D,4,30.0,2025-10-30
INV-046,Tracy Turner,tracy.turner@example.com,241 Cedar Street,"Miami, FL",33107,Widget A,5,25.0,2025-10-29
INV-046,Tracy Turner,tracy.turner@example.com,241 Cedar Street,"Miami, FL",33107,Widget B,2,40.0,2025-10-23
INV-047,Ulysses Diaz,ulysses.diaz@example.com,188 Pine Street,"Springfield, IL",76560,Widget B,3,40.0,2025-10-20
INV-047,Ulysses Diaz,ulysses.diaz@example.com,188 Pine Street,"Springfield, IL",76560,Widget C,5,15.0,2025-10-24
INV-048,Vera Parker,vera.parker@example.com,344 Oak Street,"Portland, OR",41182,Widget E,4,35.0,2025-10-28
INV-048,Vera Parker,vera.parker@example.com,344 Oak Street,"Portland, OR",41182,Widget A,1,25.0,2025-10-27
INV-049,Will Cruz,will.cruz@example.com,608 Elm Street,"Madison, WI",27313,Widget D,3,30.0,2025-10-30
INV-049,Will Cruz,will.cruz@example.com,608 Elm Street,"Madison, WI",27313,Widget C,4,15.0,2025-10-29
INV-049,Will Cruz,will.cruz@example.com,608 Elm Street,"Madison, WI",27313,Widget A,4,25.0,2025-10-23
INV-050,Yvonne Edwards,yvonne.edwards@example.com,929 Pine Street,"Madison, WI",23781,Widget A,1,25.0,2025-10-30
